Date,Open,High,Low,Close,Adj Close,Volume
2017-08-07,127.010002,128.600006,125.800003,126.455002,124.582672,3520600
2017-08-08,127.519997,134.500000,125.500000,133.080002,131.109573,16740750
2017-08-09,134.199997,135.574997,128.324997,129.919998,127.996368,17631700
2017-08-10,129.800003,135.240005,126.720001,131.794998,129.843628,19263310
2017-08-11,128.899994,133.619995,126.995003,129.660004,127.740234,12232250
2017-08-14,130.500000,138.000000,130.500000,137.070007,135.040512,12532030
2017-08-16,140.899994,144.475006,138.264999,139.289993,137.227631,21741340
2017-08-17,140.800003,142.449997,138.600006,139.940002,137.868027,12548350
2017-08-18,139.000000,141.095001,137.899994,139.455002,137.636093,7364710
2017-08-21,140.380005,143.274994,137.199997,138.360001,136.555359,10088590
2017-08-22,141.000000,141.005005,135.250000,135.710007,133.939926,9933480
2017-08-23,136.899994,138.764999,135.399994,138.029999,136.229660,6650290
2017-08-24,138.800003,140.600006,137.205002,139.354996,137.537399,7303500
2017-08-28,139.199997,140.399994,137.610001,138.250000,136.446808,5805080
2017-08-29,138.884995,138.884995,133.744995,134.485001,132.730896,6588110
2017-08-30,136.000000,139.774994,135.500000,136.604996,134.823242,11578690
2017-08-31,137.975006,140.500000,135.634995,139.449997,137.631149,7654040
2017-09-01,139.535004,142.500000,139.505005,140.309998,138.479935,7495150
2017-09-04,139.729996,139.800003,136.505005,137.990005,136.190201,5629430
2017-09-05,139.500000,139.785004,137.009995,137.884995,136.086548,4372980
2017-09-06,138.000000,140.500000,137.005005,139.130005,137.315323,5921480
2017-09-07,139.210007,140.740005,138.414993,138.899994,137.088318,3615100
2017-09-08,139.809998,140.399994,137.725006,138.449997,136.644196,4682090
2017-09-11,139.399994,146.399994,138.500000,145.199997,143.306137,14236070
2017-09-12,147.095001,147.544998,142.005005,142.479996,140.621628,15933990
2017-09-13,142.000000,142.100006,130.505005,132.335007,130.608963,23913920
2017-09-14,135.509995,138.389999,134.264999,137.345001,135.553589,30007890
2017-09-15,135.110001,137.000000,134.559998,135.914993,134.142242,7095290
2017-09-18,138.399994,142.770004,136.720001,142.320007,140.463715,14175650
2017-09-19,142.800003,143.500000,137.830002,139.604996,137.784103,10999260
2017-09-20,140.000000,142.000000,138.800003,140.539993,138.706940,6885090
2017-09-21,139.750000,140.970001,137.764999,139.255005,137.438690,4737350
2017-09-22,138.500000,139.800003,136.399994,138.020004,136.219803,5636090
2017-09-25,138.199997,139.199997,133.100006,138.095001,136.293808,6146460
2017-09-26,138.699997,140.304993,136.220001,139.279999,137.463379,6393970
2017-09-27,140.600006,141.600006,135.000000,135.589996,133.821487,6801790
2017-09-28,135.610001,138.449997,133.449997,137.585007,135.790482,7972460
2017-09-29,138.500000,140.399994,137.550003,139.095001,137.280777,4765400
2017-10-03,140.210007,143.664993,140.210007,141.604996,139.758041,7290910
2017-10-04,141.649994,142.490005,139.244995,140.744995,138.909256,4849310
2017-10-05,141.899994,149.000000,141.000000,148.235001,146.301559,19061980
2017-10-06,152.000000,155.500000,151.000000,154.339996,152.326935,29707400
2017-10-09,154.500000,155.544998,149.199997,149.789993,147.836288,13988030
2017-10-10,150.679993,153.595001,146.639999,152.619995,150.629379,14669290
2017-10-11,154.479996,155.160004,148.309998,149.024994,147.081253,16069070
2017-10-12,150.100006,151.649994,148.770004,150.179993,148.221176,7177500
2017-10-13,151.000000,153.199997,151.000000,151.554993,149.578247,9461170
2017-10-16,152.800003,156.289993,151.910004,155.164993,153.141174,14645410
2017-10-17,154.399994,159.095001,154.399994,158.250000,156.185944,12538580
2017-10-18,159.395004,159.460007,151.940002,153.294998,151.295547,12846870
2017-10-19,154.220001,154.994995,151.744995,152.970001,150.974808,1192870
2017-10-23,153.009995,156.500000,152.600006,154.820007,152.800659,8418230
2017-10-24,155.220001,161.524994,154.929993,160.985001,158.885284,13803560
2017-10-25,161.589996,163.000000,158.804993,160.479996,158.386841,10377540
2017-10-26,159.509995,171.990005,156.559998,164.264999,162.122482,51871370
2017-10-27,167.889999,169.800003,161.800003,162.229996,160.114014,17380390
2017-10-30,162.710007,164.095001,160.679993,162.014999,159.901840,5859410
2017-10-31,162.100006,165.080002,161.589996,163.264999,161.135529,6903240
2017-11-01,163.300003,165.600006,162.000000,162.649994,160.528549,6089530
2017-11-02,162.649994,163.854996,161.339996,161.774994,159.664948,3276710
2017-11-03,162.800003,163.300003,160.479996,161.130005,159.028366,3325630
2017-11-06,160.970001,163.149994,159.550003,161.565002,159.457687,3804570
2017-11-07,161.925003,162.800003,159.354996,159.929993,157.844025,3748560
2017-11-08,159.699997,163.389999,159.000000,161.425003,159.319534,5583230
