Date,Open,High,Low,Close,Adj Close,Volume
2017-08-07,95.550003,95.550003,89.675003,94.275002,89.706154,5322254
2017-08-08,93.449997,93.449997,87.500000,89.550003,85.210144,6031060
2017-08-09,89.949997,94.125000,89.224998,91.974998,87.517609,2780098
2017-08-10,96.025002,96.675003,88.000000,89.599998,85.257706,3898392
2017-08-11,90.449997,92.000000,86.000000,89.900002,85.543190,720994
2017-08-14,91.500000,92.000000,89.550003,89.824997,85.471802,319762
2017-08-16,90.074997,92.824997,90.074997,91.349998,86.922890,435016
2017-08-17,91.449997,93.625000,90.800003,91.849998,87.398674,944996
2017-08-18,91.550003,92.025002,89.775002,90.224998,85.852425,558432
2017-08-21,90.500000,92.474998,89.300003,89.800003,85.448036,494704
2017-08-22,90.000000,91.000000,87.050003,89.250000,84.924675,433520
2017-08-23,90.000000,107.000000,89.599998,105.324997,100.220634,7989224
2017-08-24,107.250000,113.000000,103.500000,108.449997,103.194183,3729850
2017-08-28,109.250000,115.474998,106.625000,111.000000,105.620613,2653226
2017-08-29,111.000000,112.599998,108.050003,108.724998,103.455856,636358
2017-08-30,110.099998,111.849998,106.750000,107.150002,101.957184,438616
2017-08-31,107.574997,113.000000,107.574997,112.099998,106.667290,1149050
2017-09-01,113.324997,117.449997,111.775002,115.849998,110.235565,1466554
2017-09-04,116.000000,120.349998,109.574997,113.199997,107.713997,1028620
2017-09-05,114.750000,116.400002,112.875000,113.699997,108.189751,621344
2017-09-06,112.875000,116.250000,111.050003,113.750000,108.237328,441710
2017-09-07,114.599998,116.949997,112.824997,113.474998,107.975655,541482
2017-09-08,114.675003,115.500000,112.000000,113.375000,107.880516,364918
2017-09-11,113.949997,116.000000,113.500000,114.775002,109.212677,372566
2017-09-12,115.449997,121.000000,115.000000,118.724998,113.119049,1295790
2017-09-13,119.925003,122.000000,118.000000,119.574997,113.928940,760142
2017-09-14,121.250000,125.500000,120.525002,124.050003,118.192635,1309518
2017-09-15,124.449997,136.350006,119.750000,131.024994,124.838272,1725292
2017-09-18,132.425003,140.399994,131.550003,132.824997,126.553299,1421878
2017-09-19,133.925003,134.899994,128.675003,130.475006,124.314262,462812
2017-09-20,130.550003,139.899994,128.274994,136.274994,129.840393,1577850
2017-09-21,137.074997,141.699997,130.649994,133.300003,127.005875,1064868
2017-09-22,132.975006,133.850006,124.250000,125.974998,120.026733,676984
