Date,Close
7/25/2017 15:30:00,526.84
7/26/2017 15:30:00,539.03
7/27/2017 15:30:00,534.74
7/28/2017 15:30:00,525.83
7/31/2017 15:30:00,540.32
8/1/2017 15:30:00,545.37
8/2/2017 15:30:00,542.37
8/3/2017 15:30:00,532.89
8/4/2017 15:30:00,548.65
8/7/2017 15:30:00,571.71
8/8/2017 15:30:00,587.34
8/9/2017 15:30:00,576.47
8/10/2017 15:30:00,575.81
8/11/2017 15:30:00,568.57
8/14/2017 15:30:00,594.29
8/16/2017 15:30:00,601.39
8/17/2017 15:30:00,595.86
8/18/2017 15:30:00,596.1
8/21/2017 15:30:00,592.2
8/22/2017 15:30:00,590.34
8/23/2017 15:30:00,604.63
8/24/2017 15:30:00,608.82
8/28/2017 15:30:00,605.82
8/29/2017 15:30:00,600.44
8/30/2017 15:30:00,608.49
8/31/2017 15:30:00,607.92
9/1/2017 15:30:00,620.45
9/4/2017 15:30:00,616.01
9/5/2017 15:30:00,621.3
9/6/2017 15:30:00,622.16
9/7/2017 15:30:00,621.97
9/8/2017 15:30:00,624.45
9/11/2017 15:30:00,631.31
9/12/2017 15:30:00,650.65
9/13/2017 15:30:00,647.55
9/14/2017 15:30:00,645.69
9/15/2017 15:30:00,646.88
9/18/2017 15:30:00,641.12
9/19/2017 15:30:00,644.46
9/20/2017 15:30:00,655.17
9/21/2017 15:30:00,654.65
9/22/2017 15:30:00,623.11
9/25/2017 15:30:00,609.54
9/26/2017 15:30:00,623.21
9/27/2017 15:30:00,618.68
9/28/2017 15:30:00,619.02
9/29/2017 15:30:00,621.73
10/3/2017 15:30:00,629.59
10/4/2017 15:30:00,627.88
10/5/2017 15:30:00,629.78
10/6/2017 15:30:00,658.79
10/9/2017 15:30:00,664.32
10/10/2017 15:30:00,658.17
10/11/2017 15:30:00,650.08
10/12/2017 15:30:00,658.94
10/13/2017 15:30:00,677.28
10/16/2017 15:30:00,681.18
10/17/2017 20:00:00,678.85
10/18/2017 15:30:00,676.09
10/19/2017 20:00:00,669.8
10/23/2017 15:30:00,678.37
10/24/2017 15:30:00,685.33
10/25/2017 15:30:00,683.71
10/26/2017 15:30:00,694.76
10/27/2017 15:30:00,692.47
10/30/2017 15:30:00,684.33
10/31/2017 15:30:00,670.56
11/1/2017 15:30:00,673.9
11/2/2017 15:30:00,672.75
11/3/2017 15:30:00,675.42
11/6/2017 15:30:00,673.42
11/7/2017 15:30:00,660.46
11/8/2017 15:30:00,660.41
11/9/2017 15:30:00,670.18
11/10/2017 15:30:00,669.08
11/13/2017 15:30:00,658.41
11/14/2017 15:30:00,653.13
11/15/2017 15:30:00,645.74
11/16/2017 15:30:00,653.94
11/17/2017 15:30:00,668.08
11/20/2017 15:30:00,668.99
11/21/2017 15:30:00,677.75
11/22/2017 15:30:00,677.47
11/23/2017 15:30:00,679.04
11/24/2017 15:30:00,674.99
11/27/2017 15:30:00,669.37
11/28/2017 15:30:00,670.61
11/29/2017 15:30:00,675.8
11/30/2017 15:30:00,661.37
12/1/2017 15:30:00,648.74
12/4/2017 15:30:00,655.32
12/5/2017 15:30:00,643.79
12/6/2017 15:30:00,636.07
12/7/2017 15:30:00,655.03
12/8/2017 15:30:00,664.84
12/11/2017 15:30:00,666.51
12/12/2017 15:30:00,657.27
12/13/2017 15:30:00,648.69
12/14/2017 15:30:00,653.36
12/15/2017 15:30:00,661.89
12/18/2017 15:30:00,671.42
12/19/2017 15:30:00,676.66
12/20/2017 15:30:00,669.61
12/21/2017 15:30:00,680.85
12/22/2017 15:30:00,677.61
12/26/2017 15:30:00,687.57
12/27/2017 15:30:00,689.28
12/28/2017 15:30:00,701.48
12/29/2017 15:30:00,697.81
1/1/2018 15:30:00,688.09
1/2/2018 15:30:00,694.86
1/3/2018 15:30:00,700.24
1/4/2018 15:30:00,724.35
1/5/2018 15:30:00,734.3
1/8/2018 15:30:00,732.44
1/9/2018 15:30:00,735.83
1/10/2018 15:30:00,736.35
1/11/2018 15:30:00,734.54
1/12/2018 15:30:00,733.87
1/15/2018 15:30:00,746.5
1/16/2018 15:30:00,729.59
1/17/2018 15:30:00,737.45
1/18/2018 15:30:00,716.25
1/19/2018 15:30:00,717.44
1/22/2018 15:30:00,716.68
1/23/2018 15:30:00,742.92
1/24/2018 15:30:00,726.11
1/25/2018 15:30:00,732.82
1/29/2018 15:30:00,746.16
1/30/2018 15:30:00,739.21
1/31/2018 15:30:00,705.05
2/1/2018 15:30:00,696.75
