DateTime,Nifty Microcap 250
20-04-2018 0:00,7356.31
23-04-2018 0:00,7427.2
24-04-2018 0:00,7434.81
25-04-2018 0:00,7369.14
26-04-2018 0:00,7341.28
27-04-2018 0:00,7346.89
30-04-2018 0:00,7376.82
02-05-2018 0:00,7302.43
03-05-2018 0:00,7227.03
04-05-2018 0:00,7229
07-05-2018 0:00,7228.6
08-05-2018 0:00,7207.08
09-05-2018 0:00,7206.68
10-05-2018 0:00,7120.16
11-05-2018 0:00,7123.18
14-05-2018 0:00,7045.79
15-05-2018 0:00,7019.79
16-05-2018 0:00,6994.46
17-05-2018 0:00,7044.34
18-05-2018 0:00,6954.15
21-05-2018 0:00,6799.24
22-05-2018 0:00,6857.22
23-05-2018 0:00,6830.91
24-05-2018 0:00,6807.04
25-05-2018 0:00,6842.49
28-05-2018 0:00,6941.03
29-05-2018 0:00,6920.6
30-05-2018 0:00,6893.26
31-05-2018 0:00,6833.36
01-06-2018 0:00,6723.31
04-06-2018 0:00,6539.41
05-06-2018 0:00,6299.19
06-06-2018 0:00,6419.66
07-06-2018 0:00,6595.59
08-06-2018 0:00,6623.95
11-06-2018 0:00,6685.54
12-06-2018 0:00,6727.89
13-06-2018 0:00,6717.74
14-06-2018 0:00,6722.87
15-06-2018 0:00,6715.04
18-06-2018 0:00,6670.04
19-06-2018 0:00,6580.28
20-06-2018 0:00,6591.2
21-06-2018 0:00,6521.03
22-06-2018 0:00,6518.57
25-06-2018 0:00,6465.27
26-06-2018 0:00,6404.69
27-06-2018 0:00,6246.42
28-06-2018 0:00,6159.63
29-06-2018 0:00,6285.03
02-07-2018 0:00,6241.3
03-07-2018 0:00,6257.1
04-07-2018 0:00,6274.64
05-07-2018 0:00,6247.81
06-07-2018 0:00,6275.71
09-07-2018 0:00,6396.8
10-07-2018 0:00,6460.31
11-07-2018 0:00,6434.42
12-07-2018 0:00,6399.87
13-07-2018 0:00,6322.3
16-07-2018 0:00,6162.38
17-07-2018 0:00,6184.51
18-07-2018 0:00,6113.65
19-07-2018 0:00,6036.07
20-07-2018 0:00,6029.84
23-07-2018 0:00,6093.57
24-07-2018 0:00,6271.02
25-07-2018 0:00,6286.03
26-07-2018 0:00,6289.12
27-07-2018 0:00,6351.22
30-07-2018 0:00,6433.45
31-07-2018 0:00,6460.43
01-08-2018 0:00,6491.79
02-08-2018 0:00,6504.64
03-08-2018 0:00,6599.12
06-08-2018 0:00,6636.57
07-08-2018 0:00,6594.02
08-08-2018 0:00,6599.04
09-08-2018 0:00,6607.64
10-08-2018 0:00,6537.15
13-08-2018 0:00,6468.41
14-08-2018 0:00,6463.51
16-08-2018 0:00,6460.26
17-08-2018 0:00,6515.24
20-08-2018 0:00,6550.18
21-08-2018 0:00,6566.34
23-08-2018 0:00,6559.95
24-08-2018 0:00,6540.31
27-08-2018 0:00,6566.25
28-08-2018 0:00,6575.89
29-08-2018 0:00,6570.13
30-08-2018 0:00,6593.23
31-08-2018 0:00,6622.69
03-09-2018 0:00,6634.02
04-09-2018 0:00,6521.72
05-09-2018 0:00,6479.94
06-09-2018 0:00,6512.17
07-09-2018 0:00,6542.94
10-09-2018 0:00,6489.83
11-09-2018 0:00,6405.54
12-09-2018 0:00,6379.15
14-09-2018 0:00,6467.17
17-09-2018 0:00,6483.17
18-09-2018 0:00,6398.17
19-09-2018 0:00,6365.83
21-09-2018 0:00,6162.21
24-09-2018 0:00,5984.12
25-09-2018 0:00,5943.22
26-09-2018 0:00,5959.82
27-09-2018 0:00,5859.91
28-09-2018 0:00,5645.68
01-10-2018 0:00,5603.53
03-10-2018 0:00,5655.1
04-10-2018 0:00,5556.7
05-10-2018 0:00,5430.04
08-10-2018 0:00,5299.72
09-10-2018 0:00,5268.03
10-10-2018 0:00,5466.31
11-10-2018 0:00,5393.56
12-10-2018 0:00,5541.19
15-10-2018 0:00,5628.28
16-10-2018 0:00,5728.65
17-10-2018 0:00,5607.89
19-10-2018 0:00,5522.39
22-10-2018 0:00,5430.57
23-10-2018 0:00,5342.78
24-10-2018 0:00,5345.39
25-10-2018 0:00,5303.38
26-10-2018 0:00,5317.83
29-10-2018 0:00,5424.54
30-10-2018 0:00,5485.79
31-10-2018 0:00,5540.53
01-11-2018 0:00,5591.87
02-11-2018 0:00,5646.25
05-11-2018 0:00,5648.31
06-11-2018 0:00,5654.45
07-11-2018 0:00,5734.05
09-11-2018 0:00,5746.6
12-11-2018 0:00,5726.61
13-11-2018 0:00,5739.41
14-11-2018 0:00,5718.85
15-11-2018 0:00,5690.25
16-11-2018 0:00,5661.87
19-11-2018 0:00,5675.94
20-11-2018 0:00,5608.23
21-11-2018 0:00,5625.73
22-11-2018 0:00,5623.85
26-11-2018 0:00,5583.66
27-11-2018 0:00,5583.75
28-11-2018 0:00,5552.37
29-11-2018 0:00,5549.35
30-11-2018 0:00,5571.29
03-12-2018 0:00,5583.62
04-12-2018 0:00,5582.95
05-12-2018 0:00,5521.41
06-12-2018 0:00,5437.58
07-12-2018 0:00,5422.26
10-12-2018 0:00,5306.98
11-12-2018 0:00,5381.84
12-12-2018 0:00,5519.13
13-12-2018 0:00,5556.72
14-12-2018 0:00,5557.8
17-12-2018 0:00,5596.88
18-12-2018 0:00,5618.15
19-12-2018 0:00,5689.57
20-12-2018 0:00,5704.82
21-12-2018 0:00,5653.7
24-12-2018 0:00,5586.07
26-12-2018 0:00,5563.2
27-12-2018 0:00,5575.13
28-12-2018 0:00,5605.54
31-12-2018 0:00,5639.87
01-01-2019 0:00,5667.25
02-01-2019 0:00,5640.27
03-01-2019 0:00,5592.45
04-01-2019 0:00,5583.56
07-01-2019 0:00,5590.28
08-01-2019 0:00,5591.14
09-01-2019 0:00,5576.79
10-01-2019 0:00,5585.5
11-01-2019 0:00,5578.27
14-01-2019 0:00,5557.01
15-01-2019 0:00,5589.87
16-01-2019 0:00,5615.08
17-01-2019 0:00,5601.12
18-01-2019 0:00,5558.75
21-01-2019 0:00,5515.26
22-01-2019 0:00,5451.18
23-01-2019 0:00,5428.08
24-01-2019 0:00,5361.13
25-01-2019 0:00,5266.16
28-01-2019 0:00,5130.9
29-01-2019 0:00,5113.7
30-01-2019 0:00,5170.95
31-01-2019 0:00,5216.73
01-02-2019 0:00,5211.01
04-02-2019 0:00,5130.77
05-02-2019 0:00,5056.39
06-02-2019 0:00,5024.51
07-02-2019 0:00,5078.52
08-02-2019 0:00,5050.03
11-02-2019 0:00,4983.18
12-02-2019 0:00,4957.2
13-02-2019 0:00,4927.78
14-02-2019 0:00,4932.18
15-02-2019 0:00,4880.21
18-02-2019 0:00,4820.24
19-02-2019 0:00,4842.1
20-02-2019 0:00,4883.09
21-02-2019 0:00,4960.54
22-02-2019 0:00,5007.86
25-02-2019 0:00,5064.5
26-02-2019 0:00,5027.95
27-02-2019 0:00,5029.35
28-02-2019 0:00,5082.89
01-03-2019 0:00,5203.66
05-03-2019 0:00,5404.01
06-03-2019 0:00,5480.02
07-03-2019 0:00,5502.35
08-03-2019 0:00,5489.59
11-03-2019 0:00,5575.16
12-03-2019 0:00,5641.65
13-03-2019 0:00,5600.06
14-03-2019 0:00,5586.42
15-03-2019 0:00,5533.25
18-03-2019 0:00,5518.31
19-03-2019 0:00,5527.51
20-03-2019 0:00,5510.33
22-03-2019 0:00,5473.57
25-03-2019 0:00,5380.63
26-03-2019 0:00,5411.58
27-03-2019 0:00,5437.66
28-03-2019 0:00,5475.18
29-03-2019 0:00,5511.28
01-04-2019 0:00,5584.26
02-04-2019 0:00,5568.14
03-04-2019 0:00,5526.41
04-04-2019 0:00,5504.57
05-04-2019 0:00,5555.06
08-04-2019 0:00,5548.79
09-04-2019 0:00,5532.64
10-04-2019 0:00,5523.32
11-04-2019 0:00,5517.78
12-04-2019 0:00,5531.53
15-04-2019 0:00,5555.28
16-04-2019 0:00,5555.91
18-04-2019 0:00,5510.71
22-04-2019 0:00,5442.6
23-04-2019 0:00,5423.02
24-04-2019 0:00,5435.84
25-04-2019 0:00,5426.38
26-04-2019 0:00,5413.14
30-04-2019 0:00,5308.25
02-05-2019 0:00,5289.08
03-05-2019 0:00,5267.05
06-05-2019 0:00,5234.09
07-05-2019 0:00,5199.28
08-05-2019 0:00,5119.63
09-05-2019 0:00,5102.49
10-05-2019 0:00,5104.14
13-05-2019 0:00,5010.27
14-05-2019 0:00,5003.49
15-05-2019 0:00,4978.05
16-05-2019 0:00,4977.66
17-05-2019 0:00,5003.66
20-05-2019 0:00,5173.74
21-05-2019 0:00,5129.72
22-05-2019 0:00,5148.04
23-05-2019 0:00,5149.45
24-05-2019 0:00,5298.07
27-05-2019 0:00,5451.63
28-05-2019 0:00,5471.2
29-05-2019 0:00,5430.76
30-05-2019 0:00,5423.5
31-05-2019 0:00,5370.1
03-06-2019 0:00,5365.03
