Date,Open,High,Low,Close,Adj Close,Volume
2012-10-15,222.750000,225.865005,220.500000,220.759995,193.933716,75040
2012-10-16,219.000000,222.699997,206.649994,222.289993,195.277786,15550
2012-10-17,224.500000,228.085007,223.000000,224.880005,197.553040,27050
2012-10-18,223.600006,231.494995,223.600006,229.919998,201.980606,48140
2012-10-19,228.505005,231.000000,225.255005,230.244995,202.266113,36630
2012-10-22,229.000000,230.794998,227.500000,228.895004,201.080170,34790
2012-10-23,229.324997,237.899994,228.985001,234.690002,206.170959,215310
2012-10-25,235.845001,240.500000,235.000000,239.175003,210.110962,337330
2012-10-29,238.285004,238.285004,231.494995,231.550003,203.412552,21710
2012-10-30,237.000000,237.000000,227.500000,231.494995,203.364212,164540
2012-10-31,236.899994,237.000000,229.005005,232.000000,203.807846,104060
2012-11-01,227.360001,237.500000,227.360001,235.080002,206.513596,174620
2012-11-02,238.000000,239.994995,230.110001,239.000000,209.957230,261870
2012-11-05,235.565002,241.470001,235.565002,241.035004,211.744965,952420
2012-11-06,242.494995,262.880005,241.309998,254.205002,223.314560,681220
2012-11-07,254.500000,262.200012,250.899994,259.954987,228.365814,193010
2012-11-08,259.000000,259.500000,252.149994,256.190002,225.058334,138250
2012-11-09,256.500000,257.424988,249.699997,250.324997,219.906036,110570
2012-11-11,null,null,null,null,null,null
2012-11-12,248.000000,260.000000,240.500000,257.609985,226.305786,339140
2012-11-15,263.000000,304.984985,248.000000,250.714996,220.248642,256400
2012-11-16,250.000000,254.895004,237.115005,240.485001,211.261780,160570
2012-11-19,244.399994,244.399994,232.000000,233.649994,205.257355,117840
2012-11-20,240.994995,244.899994,233.544998,235.520004,206.900116,1422210
2012-11-21,238.395004,239.000000,234.000000,237.279999,208.446228,65110
2012-11-22,234.505005,239.899994,234.505005,237.205002,208.380356,102400
2012-11-23,237.500000,247.699997,236.500000,242.699997,213.207611,182350
2012-11-26,244.994995,260.000000,244.994995,258.260010,226.876816,481000
2012-11-27,259.799988,265.899994,255.154999,261.260010,229.512238,281190
2012-11-29,261.260010,277.500000,246.574997,270.480011,237.611862,825020
2012-11-30,270.475006,276.000000,265.000000,273.825012,240.550369,835940
2012-12-03,273.799988,282.799988,273.500000,280.859985,246.730453,204480
2012-12-04,281.799988,287.500000,280.000000,286.184998,251.408401,1125460
2012-12-05,286.000000,286.000000,275.100006,276.845001,243.203354,178020
