Date,Open,High,Low,Close,Adj Close,Volume
2018-03-09,280.000000,288.149994,280.000000,288.149994,288.149994,503
2018-03-12,288.149994,300.000000,288.149994,289.549988,289.549988,1016
2018-03-13,299.899994,299.950012,291.000000,291.000000,291.000000,800
2018-03-14,280.000000,304.899994,280.000000,282.000000,282.000000,495
2018-03-15,295.000000,296.000000,295.000000,296.000000,296.000000,195
2018-03-16,304.899994,305.000000,304.899994,305.000000,305.000000,100
2018-03-19,296.000000,296.000000,290.100006,290.100006,290.100006,1060
2018-03-20,290.100006,304.500000,290.000000,295.000000,295.000000,595
2018-03-21,295.000000,295.000000,295.000000,295.000000,295.000000,0
2018-03-22,295.000000,295.000000,290.000000,290.000000,290.000000,280
2018-03-23,290.000000,290.000000,280.000000,280.000000,280.000000,135
2018-03-26,292.850006,293.000000,290.000000,290.000000,290.000000,390
2018-03-27,290.000000,290.000000,290.000000,290.000000,290.000000,0
2018-03-28,277.500000,302.950012,277.000000,302.950012,302.950012,622
2018-04-02,298.000000,300.000000,287.850006,288.500000,288.500000,180
2018-04-03,302.000000,302.000000,300.899994,300.899994,300.899994,80
2018-04-04,286.000000,306.399994,285.899994,304.000000,304.000000,219
2018-04-05,290.000000,290.000000,290.000000,290.000000,290.000000,100
2018-04-06,304.000000,304.000000,280.000000,280.000000,280.000000,270
2018-04-09,294.000000,294.000000,293.000000,293.000000,293.000000,193
2018-04-10,286.000000,287.000000,286.000000,287.000000,287.000000,66
2018-04-11,272.649994,299.950012,272.649994,280.049988,280.049988,6
2018-04-12,280.049988,280.049988,280.049988,280.049988,280.049988,0
2018-04-13,280.049988,294.000000,275.000000,292.250000,292.250000,326
2018-04-16,277.649994,295.000000,277.649994,287.549988,287.549988,358
2018-04-17,274.500000,297.950012,274.500000,280.100006,280.100006,202
2018-04-18,293.950012,294.000000,293.000000,293.000000,293.000000,96
2018-04-19,293.000000,293.000000,293.000000,293.000000,293.000000,0
2018-04-20,280.049988,290.000000,278.350006,279.850006,279.850006,310
2018-04-23,278.350006,293.799988,278.350006,293.799988,293.799988,518
2018-04-24,307.000000,308.450012,281.049988,290.000000,290.000000,351
2018-04-25,304.000000,304.500000,299.950012,300.000000,300.000000,1875
2018-04-26,295.000000,315.000000,290.500000,296.000000,296.000000,1452
2018-04-27,285.100006,308.000000,285.100006,308.000000,308.000000,12
2018-04-30,313.000000,313.000000,292.600006,292.600006,292.600006,520
2018-05-02,281.100006,304.750000,278.000000,286.149994,286.149994,317
2018-05-03,297.799988,297.799988,297.799988,297.799988,297.799988,2
2018-05-04,283.000000,285.000000,282.950012,282.950012,282.950012,123
2018-05-07,270.000000,296.850006,270.000000,296.850006,296.850006,7
2018-05-08,283.000000,295.000000,283.000000,295.000000,295.000000,50
2018-05-09,299.000000,299.000000,285.000000,291.250000,291.250000,66
2018-05-10,277.000000,296.950012,277.000000,278.700012,278.700012,240
2018-05-11,280.000000,280.000000,270.000000,274.000000,274.000000,205
2018-05-14,275.000000,275.000000,275.000000,275.000000,275.000000,50
2018-05-15,270.000000,275.049988,270.000000,274.750000,274.750000,87
2018-05-16,288.450012,288.450012,262.500000,288.000000,288.000000,532
2018-05-17,279.899994,280.000000,279.899994,280.000000,280.000000,200
